,Comments,Emotion_predicted
40,your child is na modda uvura lanka kodaka kodoka your mother pukulo na sulli lanja kodaka,Positive
41,as in 2019 gottipati bharat anna ki m l c fashtu nathamudu my brother in kollu lokeperuga anna,Positive
42,it is our policy to lend and give,Negative
43,"anna, if you win again, people should beg for it",Negative
44,who believes what you say sir,Negative
45,"i don't have a sore throat, drink some water and speak slowly, leech",Negative
46,"a woman who said that she would give that much money gave 20 crosses for the ticket, but your money was lost.",Positive
47,"do you have any mineral resources in the state? dora babu, think carefully whether we should do dosa in it, think carefully about what is in our constituency to loot",Positive
48,nee bratukki paper chudakunda maatladalevu nee lanti lofer gaadu cm ap karma ra nee lage boku ani cheppu inta avasaram ledu tittadaniki kuda paper chustunnavu ante ninnu emanali,Positive
49,his baboy says i don't want that ticket for anyone,Negative
50,dora babu gives a lot of money to a gang of thieves and a cheap batch,Positive
51,420 ga is amma mogudetha r,Negative
52,jugluk gadi has assets in hyderabad and has no interest in development,Negative
53,first wine shop closing next voting,Negative
54,jai jaganna,Negative
55,naa botchula bidda nuvvo gaja donga nayala vi nee viswassam emi raa nee viveka gaarini champina nee neecha bathuku ninnu rajareddy gathi pattelaa chesthaaru nuv chese rajareddy paalana result vasthadhi le ap cm luchcha jagan mohan reddy,Positive
56,that's why you're in the wind,Positive
57,"we should not say that we will give money, we should say that we will grant",Positive
58,this is not the first time tekkali has ever done enavs,Negative
59,jai jagan,Negative
60,umemployers are asking for upsi jobs calendar disk weyandi support,Positive
61,you are the perfect child for what has kept your life bitter,Negative
62,you are 420 gods,Positive
63,this saree is custom anna,Negative
64,"babu, how much do you always give?",Negative
65,fulfill your promise sir,Negative
66,babu of the fallen yavari,Negative
67,"you were born in munda, you are our child, you are the child of the bible and our karmara babu",Negative
68,a man who eats rice to his stomach will not vote for jagan again,Negative
69,but cm jagan is playing games because of his cases in court he needs power to solve his own problems so people should realise and vote for ap state feature,Positive
70,whatever is known,Negative
71,what bookkara,Positive
72,not my baby but cancer,Negative
73,y,Netural
74,chetata jagan come west car,Negative
75,ayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy like,Negative
76,please vote for tdp,Negative
77,but if he loses in the 2024 election,Negative
78,who are you?,Netural
79,jai telugu country,Negative
80,po ra naina po,Negative
81,"jagan, if you give a lot in one village, tell me what is going on in the rest of the village",Positive
82,fallen mother karma fell,Negative
83,jai jagan anna jai jai jagan anna nizamabad,Negative
84,everyone's veda,Negative
85,amma nadi kadapa district 2018 2019 mba batch studied in vijayawada jagananna but still they have not given me the fee reimbursement but the college has not given me the certificate.,Positive
86,second time,Negative
87,4 20 ycp party,Negative
88,you are a big corrupt thief,Negative
89,who are you?,Netural
90,"our people are giving you a big gift this time, anna jagan",Negative
91,it's big,Positive
92,"you have to talk about the robbers myself, leach, i am from telangana",Negative
93,you are not the one who commits the murder of a yard thief,Negative
94,"congratulations, davuluri dorababu, you will become a guaranteed member",Negative
95,who is sir and how much is that child,Negative
96,ji tdp,Negative
97,why burden god for your sins,Negative
98,swami nilapara nayana who did not want to believe your words,Negative
99,before the cloth did not come near,Negative
100,when apara gadidha is not reached,Negative
101,"baby is a baby, baby, baby",Positive
102,"don't stand up or sink those who believe, child",Negative
103,do nothing but evil,Negative
104,don't speak telugu properly before babu,Negative
105,"in 365 days, 312 days of loan, what is the development? give 1 chocolates and deduct 100 tax.",Negative
106,wammo is like a big corrupt anaconda,Negative
107,this child will go to the next jail,Negative
108,negaddu ​​anna tdp pispik kalesaru kad pakka sibin sim,Positive
109,rip andhra pradesh if jagan is coming next cm,Negative
110,yerri bidda,Negative
111,gorr fell,Negative
112,"the child is a stupid ass. if you come next time, everyone will have to beg",Positive
113,our baby good baby wakes you me all up,Negative
114,"i ran away for the state, destroyed anakurei, sand thief, come, you have done well for the people without pain, when will the people know.",Positive
115,"hey baby, the salaries of my old employees are in your mouth, don't talk nonsense.",Positive
116,thief child,Negative
117,he will be in jail for another 4 months,Negative
118,emindhi jalaga reddy called anna an airport to the dish,Negative
119,he is lying about voting for sympathy,Negative
120,"come sannasi cm, where have roads been laid?",Negative
121,cheeeerr,Positive
122,you donkey's egg child wu ra sannashi,Negative
123,anna jagan nuvvu super anna five years state nu chala chala development chesavu enka chalu anna rest teesukondi next five years ayana vera vallu yevaru choosthamu,Positive
124,you sanction not give money,Negative
125,stop cheating,Negative
126,vadi kuduu lanja kodaka nee amma pukulo na sulli,Positive
127,naa modda ni,Negative
128,nuva pada daga song chinna doga,Negative
129,nee bonda rup nee bihar done what else to do i don't even get deposits i win dora babu let's see again,Positive
130,and when to wait for elections in 4 months,Negative
131,"if all the elections are done before, they will not happen, even 25 lakhs will not come, just words so far",Positive
132,"i get bored watching your speech, your tv, your paper",Negative
133,whose child are you?,Negative
134,why did you say that your brother is not the chairman of the housing board and has spent crores and crores and is ready for 5000 to 7000 votes for the upcoming election.,Positive
135,"if we believe in you, the unemployed will be destroyed. you are not 100% cm",Negative
136,budda is not what,Positive
137,the rates of essential goods have also been reduced and the rtc charges have also been reduced,Negative
138,"you are the only one who is stubborn, but we are obstructing everyone in the states.",Negative
139,ooo god ap bedalam andharani kapadu swami ma ap kuda hyd la develop avali ma nxt janaratition bhagundali anty legend and visinary ledar ravali cm kavali cbn matrami ap ni save chiyajalaru ani full namakam ma prajalaki vachisendhi,Positive
140,jai jagan,Negative
141,"it is 100 difficult to win by yourself, put the adopted son in the note and go to bed",Positive
142,how many people are you born to?,Negative
143,beware of chatters to drown,Negative
144,god above means modi is my world,Negative
145,we are unable to listen to baboy sutras enough,Negative
146,"you are a great child, you are a destroyer who destroyed our country",Negative
147,jai tdp,Negative
148,evms under god above,Negative
149,that is ys jaganmohan reddy garu great cm in india,Negative
150,dewudu chupisthadu meeku,Negative
151,jai jagan mohan reddy 2024 sure short,Negative
152,is it a ticket? wicket?,Negative
153,jagan pedhaa thief my son 6093,Negative
154,tell me in add,Negative
155,dg muir,Negative
156,"if you vote with confidence, you have made it so poor",Negative
157,jagan roja nu chudu,Negative
158,who are you,Netural
159,eesarepout,Positive
160,wish you bad luck jagan,Negative
161,what kind of cancer do you believe in your ishuka robbery electricity charges and your rtc bus charges?,Positive
162,jai babu,Negative
163,you're a poor man,Negative
164,vaginal muscles,Negative
165,good for you jagan,Negative
166,you have destroyed the state,Negative
167,ore sannyasi m fell fallen monk in front of mockery,Negative
168,jai hind ja janazana,Negative
169,dora babu dagara n ta teinnu ra nakkala redde,Positive
170,"do you have these problems for so many days? yes, chesinappudu chuddam",Negative
171,lie nammkunnadu,Negative
172,bye bye ycp,Positive
173,jai tdp,Negative
174,"if we vote for you, we will lose this time",Negative
175,"all are brothers, give one constituency to anantha babu",Negative
176,super goats,Negative
177,evudra maa bidda devudu kuda ninnu kshaminchadu emi palana ra cheththa palana capital lekunda chesavu button nokkadame shem anukontunnava nasanam ayi pothavu chvaraki nee amma nanna chelli kuda kshamincharu ninnu ekkaki ga chastavu prajala usuru thagili useless fellow cbn pawan jali foti ki saripovu buthulu hatyalu cheyistava mee mlas and mlc tho,Positive
178,why are you afraid of making an alliance with someone? ban alcohol and ask for votes,Positive
179,jai cbn jai tdp,Negative
180,"come to whom, you are a child of whom you were born, if you have clarity, you are not a gang of robbers, even if you go to jail for 16 months, you are the king of corruption.",Positive
181,"if rajasekhar reddy's helicopter had been in the accident, the poverty of this state would have been gone with him.",Positive
182,ing pleased,Negative
183,pora gorr fell,Negative
184,neku namaskaram brother,Negative
185,where does the money come from?,Negative
186,you are super bro,Negative
187,2 moda,Positive
188,"orei babu, once you have sent him down, it is still difficult for our people",Negative
189,"if there is no first, then there is no last",Negative
190,where did you say zillakoka airport? what if the airplanes flew in the air and the airports were also built in the air?,Positive
191,their words pass through forts and the gate of water is also ore,Negative
192,"48 months of hard work for that p. in these 45 years, the debt you incurred is 10, the development done by lock care is zero",Positive
193,jay saban,Negative
194,punch a ticket,Negative
195,bring the child home,Negative
196,your poor modi's legs are fighting with nails,Negative
197,voice change is more difficult,Negative
198,there is nothing,Positive
199,door delivery chyaleadha,Negative
200,jay saban,Negative
201,"baby, people will give you a baby",Negative
202,istanavana is in my pocket,Negative
203,ray baby my dick in your mouth,Negative
204,pit in the hole,Negative
205,"there is no money to pay salaries and pensions, what else will they do?",Negative
206,roads drainages should be laid,Negative
207,if your child says your child means...all your possessions are mine...don't believe and don't be deceived...don't destroy your child's future by believing...,Negative
208,modda ran jagan,Negative
209,your child did not like everything,Negative
210,"trust all of chili amma, who is really good",Negative
211,"if this child had been planted in the tree, the lives of many children would not have fallen on the road. tricky media and other apps are bad words with the violation of law & order all over the state with trolls, governance has forgotten and sidetracked and poverty has come to five and seven only after this child came, corona drought, heavy rains, floods again, drought again, lack of rain again, electricity cut and so many fields, this child is a burden on the earth.",Positive
212,ap ni sarva nasanamu chysaru 420 jagan,Negative
213,420 jagan's up to the people will take a bath 2024 wait and c,Negative
214,200 crores panchandi hey this time you don't have much money,Negative
215,fallen m****a,Positive
216,paye chayutha also paid for the team leader jagan,Negative
217,one sanka paid me boni,Negative
218,rip bangladesh,Negative
219,you will know if you talk to the people and not in front of the media,Negative
220,have you ever held a press meet about public issues and development programs?,Positive
221,ok,Positive
222,ori nee action kamalapuram oscar for kamal haasan,Negative
223,it's enough to say who doesn't believe the money and go home,Negative
224,is 20 lux enough to pay crores crores?,Negative
225,maya matalu jagan,Negative
226,ori baby ni brathuku next sankanaki pothundai,Negative
227,"as orey jagan, you are a 420, is there anyone more corrupt than you? 40 thousand crores ed has been seized by cbi.",Positive
228,jai jana sena jai ​​pawanism,Negative
229,the difference is that the mountain is silent,Negative
230,otherwise he will snap his neck,Negative
231,jai jagan anna nuv super cm in ap always india best cm jagan anna,Positive
232,no one will believe the words of eadava puku but get it right next you will be jailed jai jana sena jaipower star next cm,Positive
233,jai jagan,Negative
234,he is talking about giving from home,Negative
235,orey jaganga musukonipo,Negative
236,no 1 thief child... don't believe the heat people,Negative
237,jai yaho jagan anna,Negative
238,"ori, your aunty is there in gajadonga world",Negative
239,"there is nothing wrong with your child, your child, your child",Negative
240,jai cbn jai jai cbn,Negative
241,all the best jagan anna,Negative
242,jay saban,Negative
243,"earlier, many people lost their lives in road construction in the state, no restrictions.",Positive
244,they will not believe your words and vote,Negative
245,take good care of mother and sister before a child,Negative
246,losing is confirmed,Negative
247,jajagan,Positive
248,20 lakhs is not enough for what wu seem sir increase the pills sir jaijagan sir,Positive
249,sollu apara's child,Negative
250,give clarity to whose child you are,Negative
251,west,Positive
252,bye bye bye gajadonga,Positive
253,your child means to my father,Negative
254,know how much you have spent on debt for the state,Negative
255,"who did you give birth to? lanzakodaka, your child is called your child.",Negative
256,kozza is my son,Negative
257,"gee psycho, your tigers won't win this time",Negative
258,me dora babu ki esther is tough this time,Negative
259,ap need visionary leader not roudie politicians,Negative
260,gajadonga 4300 teneva 100% change,Negative
261,"you are not my child, but my mother",Negative
262,see the younger brother comes and loses,Negative
263,abbo gajadongalake is the team leader and you are the trainer and you are saying god,Negative
264,"till 2019 we have heard what you said, since 2019 we have seen you, that's enough nayana, don't you go home and tell me about your sister?",Positive
265,ha ha ha abba,Negative
266,naremura fight,Negative
267,"we are not recognized by the party, sir, we have always been saying that we are also working. we support ycp without going to work, but no one cares about us.",Positive
268,fold it and put it where you want to put it,Negative
269,"he eats people's money and should answer to someone. people's money is given to people. when corona comes, you don't see it. what do you know about those who have money? common people will come and work one day and work for 500, 600. then they will know.",Positive
270,"yes, will you have it in 2024?",Positive
271,donga papa fell jagan,Negative
272,"you are not a child, my end v",Negative
273,kim,Positive
274,donga edupulu first ap development after my benifits we will get more revenue for distribution not by debts we don't want jagan he is not a wealth creator pedda donga giving biscuits people,Positive
275,set one meeting without reaching the oppositione bro,Negative
276,the thief destroyed the criminal up,Negative
277,papam jagan mama,Negative
278,you are a child in the womb,Negative
279,dorababu will complain if he is maddagudu,Negative
280,"you are the son of a thief born to our mother, this time we will shave you. you have shaved your family members and sent them to telangana state. don't even yamadharmaraju believe you?",Positive
281,cmjagan175/175 cm oncemore,Negative
282,stop the plays of cbi's son jagan,Negative
283,talk about andhra barroungs,Negative
284,"he trusted chinnana in the last election and this time he trusts his own mother, sister and people",Positive
285,your child has cancer,Negative
286,this time you will be begging for sure,Negative
287,"god has left you, child",Negative
288,bye bye jagan,Positive
289,jai tdp,Negative
290,this is the thief's child who has been in jail for 16 months,Negative
291,super,Positive
292,assume ..dayamy udaw anna,Negative
293,chesunavnni baleecheppu tunaw anna,Negative
294,amicheputuw an najagan sar,Negative
295,"whose child are you, tell me the truth, little one",Negative
296,"there is no child, no superstition, our child is still a last chance, no faith, no potato",Negative
297,kothala rayudu these pictures,Negative
298,anna is indeed a great child,Negative
299,only me 420 team,Positive
300,you are the biggest yard stealer in 1st damal and you are the only one who is hard to win in single digits at 24.,Positive
301,super action u spent lot of money for waste schemes,Negative
302,jai tdp,Negative
303,by by jagan,Positive
304,jajagan,Positive
305,chief minister of 3 colours,Negative
306,follow mother and father,Negative
307,when is election time ka jagan,Negative
308,jay saban,Negative
309,you are no different from a madman,Negative
310,paderu ycp is a big boy,Negative
311,"your child is your child, who are you?",Positive
312,psycho jagan,Negative
313,neeyammapuukuralanjakodakaneepaalananaabochuokkatelofarvedava,Positive
314,jay saban,Negative
315,jai jagan,Negative
316,the streets of delhi believed in you,Negative
317,?,Netural
318,jai jagan,Negative
319,née kanna gaja dongaa vuntaara saami anni poyetivile mundu aitenemi venaka aithe nemi,Positive
320,whatever is known,Negative
321,hear what the illegitimate son says about the adopted son,Negative
322,ys rajasekhar reddy garu andhra pradesh would be better if he was like god and you were gone,Positive
323,jai tdp,Negative
324,super aana,Negative
325,there is no shame in losing mmc,Negative
326,"420 if you believe siam's words, everyone will beg. beware, your party will not get deposits, jai jana sena.",Positive
327,"ever since you are a child, you will have a great big day",Negative
328,well written,Negative
329,do justice to your own sisters first,Negative
330,you are a big thief,Negative
331,jai tdp,Negative
332,sicho jagan inka selawun,Negative
333,jai jagan anna,Negative
334,"orei has stolen 42 thousand crores, who is the son of a thief?",Negative
335,"ore, god knows who is in gajadonga, you will be punished.",Negative
336,bye bye,Positive
337,mee bidda chalu chalu build up who is vijayamma,Negative
338,poooorrrrrrrrrrrrrrrrrrrr,Positive
339,neither bonda ra nor bonda,Negative
340,"even ycp 15 seats will not come, your life is in jail sir jagan",Positive
341,they have given 33000 asrs to those who claim their property as your child. farmers throw their families on the road.,Positive
342,first ticket fail,Negative
343,jaii cbn tdp 175 packs,Negative
344,say baby is baby and give a big butt to ap,Negative
345,as the pastor prayed,Negative
346,jai tdp,Negative
347,time eppudu oka la wondadu sir,Negative
348,jai cbn sir,Negative
349,"is he also a body door delivery boy? what is the development of your father's shameful speech? you show one road and the employees of ops will also sanction the same, wave the same hand and wave the same hand in polavaram and complete it.",Positive
350,how many people were you born lanjakodaka how did your mother raise you merciless lanjakodaka,Negative
351,jai cbn jai tdp,Negative
352,three you lose,Negative
353,baby donkey ---,Negative
354,y s yavwara babu mari,Negative
355,"your child is your child, my voice is broken, i don't want ycp again, that's enough",Negative
356,pora 420 thuglak nasanam aipotav raagane kodela ni torture chesi sucide chesukunla chesav tdp kattina building kulchesav cbn ni harras chesthunav pithav nasansm aipotav me thata naana babai lage avutavu nuvvu kuda arthika vugravadhi pity ap,Positive
357,defeat this big man who has cheated the dalits and the employees. people should keep a hundred thousand kilometers away from politics.,Positive
358,420,Netural
359,i am seeing every post of jagan mohan reddy and reading comments 85'/percent is negative it is very difficult to win this time,Positive
360,and they are deceiving the people of andhra by telling lies,Negative
361,jay saban,Negative
362,jai tdp,Negative
363,whose son are you above god modi?,Negative
364,you are close to your father,Negative
365,you are a thief,Positive
366,420 the kodaka bhathak things,Negative
367,my grandfather was born,Negative
368,from the sea,Positive
369,what mandiki puttina is jagam up k puttina,Negative
370,nizam jaggu sir,Negative
371,voice makes a difference sir,Negative
372,ᴍᴜɴᴅᴜ ᴍɪʀᴇ ᴏᴅɪ ᴩᴏᴛʜᴜɴɴᴀʀᴜ ᴍᴀʟʟɪ ᴠᴀɴɴɪ ɴɪʟᴀʙᴀᴅᴜ ᴛʜɪɴᴀᴠᴜ,Netural
373,whose child,Negative
374,boom boom brand,Positive
375,what did you say?,Positive
376,"shameless, 420 cm is okay to live",Negative
377,child means female and male,Negative
378,i will give you a number of cents,Negative
379,how long will you deceive people by telling lies?,Negative
380,"that means you can't be born to rajasekhar reddy, ok we understand",Negative
381,the sharp one that fell is thick,Negative
382,it's a great challenges for the politics in the country,Negative
383,whose child,Negative
384,bidda bidda bidda… i think it’s enough sir hope you get rest soon,Positive
385,psycho has to go,Negative
386,riddy or kamma had few seats because tribals could not buy tickets.,Negative
387,boom boom,Positive
388,aedichao vedava up destroyed,Negative
389,sallu apu ra babu,Negative
390,my hair is your skirt,Negative
391,nani anna always king,Negative
392,the cabin makes me feel ashamed,Negative
393,"babu, please stop painting those tdco houses and give them away",Positive
394,"actually, i am waiting for the press meet. if i do pictures, i will get a debt.",Negative
395,janmabhoomi committee should tell the tdp govt to come up with the schemes of amma odi cheyutha asara rythu bharosa karnataka 3 cylinder kapi kottadu,Positive
396,"when a koja gadu comes and calls an experienced former cm yadava, it means kodali nani, not kuja nani vi.",Positive
397,"ore pasi putti gutle like a psycho groove in your mouth, talk to noru and not to muddi",Positive
398,president kodali nani for those who talk nonsense,Negative
399,"ray puka, you are a waste fellow, that cbn guy is a use and throw babu because of you, ycp is more bad, good or less, do you think that anyone who listens to your words will vote for ycp, should not believe you and also should not believe the words of cbn.",Positive
400,"orei nani, wait for one year, my son, we will beat you so that you will remember the life of wearing sandals.",Positive
401,pora boku lanja kodaka,Negative
402,"come to kotalai with sandal, you are also yeripukaya",Negative
403,gutka raja you are super,Negative
404,that's why jagan kodali nani was kept in mmelye,Negative
405,free gas cylinders will be delivered through varahi: chandrababu,Negative
406,"nani's innumerable tongue speaks a thousand ways, and chandrababu is a good example of that",Positive
407,super anna,Negative
408,no disk is given in up,Negative
409,"why don't you believe that viper will give you, babu?",Negative
410,nor muyyara kuyya,Negative
411,super bhaiya you are super,Negative
412,ax king,Negative
413,that thuppugadoo babu ki neme correct mogudivi anna,Negative
414,his words gayle's words please don't leave them gayle's words bollewagudu,Negative
415,super nani anna,Negative
416,the most shameless politician in india is cbn and his yellow media,Negative
417,get out cbn,Negative
418,nani garu would give 5 cents to a poor person,Negative
419,jai yakap jai nani anna,Negative
420,chambagani who naru up people,Negative
421,up people don't trust chandra babu naidu,Negative
422,currect,Positive
423,jai jagan sir please give me dsc,Negative
424,420 edava,Positive
425,for the sake of jagan,Negative
426,you are the king of deceit,Negative
427,420,Netural
428,sir what u did pls tell iam from bangalore i respect my friends in andhra,Positive
429,"during the cycle period, our house was a section, when you came, it was stolen.",Negative
430,quit jagan mohan reddy save andhra pradesh,Negative
431,chatha paripalna naku marriage i e 4 6 month years inde ris card ladu ame chipalle naaku 2 childr en's badu ku 3 years baby 1 ears e sodhe everki chappu tharu edhe rowdy rajam dhenke support theka prajalu apudu marutharu naa name munna nadhe anantapur jilla peddavadugur mandalm venkatampalli my village problem clear chiasthbaa jagan anna,Positive
432,why what dramas,Positive
433,chudandi in badvel *there is one cp leader named pandi sriramulu.,Positive
434,supersir,Positive
435,it is clear from your two manifestos that people have become mustals,Negative
436,"we didn't know that if pora pooka asked one chance, one chance, one chance would be enough.",Negative
437,"during the reign of chief minister vice jaganmohan reddy, i was allotted a house in nana palli mandal of kadapa district for 15 nara cents jai jagan jai vicesar cp jai vaisar",Positive
438,hey jagan seebum i can trust you but i can't trust you,Positive
439,the growth rate of debt is lower than before,Negative
440,super anna,Negative
441,quit jagan mohan reddy save andhra pradesh,Negative
442,who went to jail and did chandrababu eat 18 water after robbing him?,Negative
443,tdp built the house but you didn't give it and still you cheated by not giving it,Negative
444,increase 6000 for the disabled,Negative
445,jai jagan 2024 kam 175/175,Negative
446,east godavari dict low illapattalu chikhar meru,Negative
447,have you come to the village and checked?,Negative
448,did you give the house schemes? my brother died and it has been 3 years and the beam did not come,Positive
449,rip ycp,Negative
450,jai jagan super,Negative
451,sir employees ki cps ni 7 rojullo raddu chesi ops implement chestanu annaru kani mata tapparu kanisam before election anna ops implement chesi employees vote bank ni geluchukondi,Positive
452,"that poor man's time is running out, don't worry, no one will vote except the unknown widows who will vote for him.",Positive
453,drip subsidy release,Negative
454,new manifesto,Negative
455,antai is your nephew's brother,Negative
456,avunu anna kgbv inter colleges lo telugu subject bodi che adhyapakulanu thisivesi ladies ki anyayaam chesthunnaru anni demos interviews face chesi 4 5 years experience tho kgbvs lo join ayithe life baguntundhi ani chesthunna udyogaalu maanesi join ayithe thelugu subject ne thisivesaru ladies ki akkadiki vella lo am cheyalo ardam kaka adusthu naru,Positive
457,"anna said in rajahmundry that she doesn't have that moustache, she can talk to r once in the kitchen.",Negative
458,very very very 420 you,Netural
459,"bocka cm, you are a brat",Negative
460,you are coming,Positive
461,"namaste, is what you said true, but this is a special status, if 25 mps win, you said you will bring them with your necks bent, now you go to delhi and bend your necks.",Positive
462,"sir, why is there no one who chooses each side of the kingdom?",Negative
463,"you have also cheated jagan, you are feeling that you have done a good thing",Negative
464,yours is ours,Netural
465,nv are big cheats,Negative
466,chetha cm jagan,Negative
467,"a telangana auto driver caught in front of vijayawada rto without paying border tb and even after paying tb within five minutes he wrote a case of 10,000 and told us that he will leave us if we pay 4000 rupees. rto took bribe from that driver, i am not rto, government, government employees, tell me, is the salary not paid properly?",Positive
468,jai jagan anna,Negative
469,supper anna,Negative
470,"tdco will give you a house, but how can you change the colors and give it the feel of a cabin?",Negative
471,tdp gave loans in govt and there are no loans in your govt,Negative
472,"but why should tdco give you a house? it is not a house built by a cabin, but a house built with quality, even if you give the land for a penny.",Positive
473,"no matter how many such meetings you hold, you will definitely lose in the next elections",Positive
474,let down,Positive
475,"jai jagan, the next cm is also mere jagan, increase all the prices and kill people",Positive
476,donga reedy like musk,Negative
477,sachivalya job travaba mari a job release chesaru sir 4 year job leka nirdyagalu antha badha padaturu job cheylana antother state antother district veli pani cheyala vastundi manchi praivite company petana alochuna kuda miku ledu botton nakadam tapa,Positive
478,why didn't you pay 1000 for songs like you don't cheat why didn't they work your name,Negative
479,rip ysrcp,Negative
480,that means you are from hell,Negative
481,luccha gadu kendram icche improvement nidulu kuda pathakalaku petti daniki thuglak perlu pettukoni janalanu gorrelu chestunte adhi paytm kukkalu muruguthunnayi 1st development and improvement ante thelisinte manolla adukkonevallu kadu velli pakka rashtralku ap rates compare cheyyandi nenu ycheep support chesinonne kani appudu tappu chesamu malla cheyyakandi ap ippudu 19th place lo undi arthikanga chala venakabadi unnamu dabbuki asha pokandi repu bavishyattu alochinchandi,Positive
482,nikon's trick is leru,Negative
483,jokes,Positive
484,why because you will be gone,Positive
485,"you married and gave away, nayana",Negative
486,where is the capital?,Positive
487,who made him cm erri pooka for me eachidu house in 2 cents you are a big thief to my mother you were born wrong.,Positive
488,visakhapatnam has to happen,Negative
489,"because of chandrababu, telangana state was formed and andhra pradesh state was destroyed. all the property of andhra pradesh state is alanjakodu (chandrababu) in telangana. if tdp wins again, everything will go to rayalaseema.",Positive
490,please vote yapudu with anna,Negative
491,ok,Positive
492,goddline codekatheine nanmntham,Negative
493,"don't shut up, scams are scams",Positive
494,"orei picche jagan, you are the one who gives the government places, tell me what you have done, don't bribe us.",Positive
495,donkey smiling gulab jamun,Negative
496,"if you don't say something like that, it would be a little better, please",Negative
497,jai tdp party next cm of chandrababu naidu,Negative
498,the capital is mendira gudiseti lanza kodaka,Negative
499,good bye jagan bye bye jagan,Negative
500,tdp means no rainfall in the state all farmers will starve,Negative
501,"what is the administration to cut the throats of the farmers of amaravati and distribute free railways to the poor? reminding that they had to bear the losses due to the farmers' usury and more importantly, the development of this state was destroyed and the unemployed had to bear the losses due to lack of employment opportunities.",Positive
502,they say that they should not believe you alone,Negative
503,hee sir,Negative
504,you gave bochoo inti patta 2year's back 10000rs i paid no direction till now 420,Positive
505,and what did you do? you took away the rice canteen where the elders eat rice and beat the stomachs of the poor,Positive
506,anna nuvve asthau anna 24 nuvve cm ma 15 otlu ne ke jai jagananna,Positive
507,bocca m is not payment batch mothome comments,Negative
508,"jagan ji, don't be fooled that our women are the leaders of the world class and volunteers are the reason for our defeat.",Positive
509,jai jagan anna,Negative
510,"first, don't scold yourself, but let people know what you want",Negative
511,saray ayana mosam chaysaru meru am chaysaru manchi chaysara mundu meru ydo manifesto release chaysaru kada danlo special status testa annaru nps tesaystam annaru yakkada avi matalu chpatam kaadu chaysi chupi,Positive
512,mana rajadani yedi jagan,Negative
513,"we remember the lies you told, leech",Negative
514,couple,Positive
515,"sir, there is no fraud like you in mega disk investment in history",Negative
516,"if i believe in you this time, i have to get rid of my stupidity, babu, why?",Negative
517,super anna,Negative
518,jai jegan aap legend kam,Negative
519,"jai jegam says that the man who has a face doesn't listen to the words of the cabin, he knows the sock fox",Positive
520,"there are no cc roads in the villages, there is no fresh water, people of alluri sitarama rajupaderu district are facing a lot of trouble, cm.",Positive
521,"vundhosukani jagan, who is in jai, cannot be in the government, he is a big fraud",Negative
522,what did you do?,Netural
523,you said correctly about jagan babu,Negative
524,"if a volunteer came to my wife, she did not come",Negative
525,you give to everyone,Negative
526,meeru evvaledhuga sir house,Negative
