,Comments,Emotion_predicted
49,ysrcp leader forcing people to attend party meetings by threatening to remove names of beneficiaries from lists of pensions and other schemes if they do not attend party meetings,Positive
50,all the best jagan anna god bless you forever and ever all is well jagan anna,Positive
51,jai jaganna god bless you jaganna,Positive
52,great cm love you jaganana,Positive
53,kadiri is not gone,Positive
54,jai jai yes jagan mohan reddy garu jai jai yasarcip yasarcip,Positive
55,"don't go down even by mistake, sandals, brooms, rain is inevitable",Positive
56,maa varilo roads vesi 20 years avtundhi maa polvaram mla ni gadapa gadapa program lo adigethe roads vadelendi schemes chepandi ani adguthunaru ayiena roads roads ani nanny adgadhu naku smandham leadhu ani antunaru mari memu evareki vote veyali dam sure ysrcp polvaram constituency lost this time,Positive
57,jai jagan mohan reddy guru,Positive
58,meru ee scheme maku vadhu dayachesi roads it companies development cheyandi oka it mnc vasthe cab and cab drivers panshops restaurants low to high shopping malls pubs and metro eni vasthayee gst tho profits vasthayee more over employment pergutundhi automatic ga,Positive
59,e sari vote veyyam ga ma samajika vargam antha veyyam okka chance annav ani vesam adhi kuda pedda ayena ysr garu kosam vesam tv channel logo dagara ysr garu photo thesasav ippudu bus pina kuda ysr gari photo ledhu thandrine pakkana pettesav maku em chesthav nv,Positive
60,all the best jagan anna,Positive
61,jai jagan anna,Positive
62,"story of ycp in 2024, not 3 but 30 regions",Positive
63,well come,Positive
64,jai ys jagan anna,Positive
65,"jagu fraud is not looking for the district, gujja jagu is not a fraud of the men.",Positive
66,290 seats in telangana and andhra jai jagan,Positive
67,welcome,Positive
68,viveka we believe you are jagan reddy,Positive
69,chi is beaten in gadapa gadapa,Positive
70,visakhaku merges into the sundra from there,Positive
71,god bless you jagan anna,Positive
72,kurnool city,Positive
73,bus spread it jagan,Positive
74,jagan anna ravale sicle povele manam anukovetem kadhu aha devudhu pogotadu meeting valla eami avathaiti ra jagan annni mosem eappketik galvadu t d p dhona naa kodikalara,Positive
77,ok,Positive
79,awesome wish you all the best jai jagan anna jay ysrcp,Positive
80,super teacher,Positive
81,"where is nayana social empowerment in the past four years? our chief minister said we don't care about the caste of my sc st bc minorities… it was only applied to the white rayam cards or to the petty cash to survive somehow? you have given expensive positions and jobs only to your social class. mannasakshi should be one. jagan, they did not vote for you. if that happened, you would have got only 5% of the votes. but the deputy chief ministers don't take any decisions on their own, it's like ichhamu, that's how bugganna rajendra prasad, who belongs to your social group, speaks as if he is the whole assembly. this is very unfortunate. do one is this strengthening the community what social empowerment means? in the democracy itself, we are shown rajarikam (king, minister of the army) jagan & chandrababu usually if there are two parties in the state, the party that comes to power acts differently from the other party, but this is not a good sign in the case of support of this one group. at all, the people of that region think that they are lazy and do not respect their language and culture... is it because of these things? because of that, 5 crore people know how much we are suffering now, yesterday we were divided by regions? tomorrow people can be divided based on castes !!!!",Positive
82,jai jagan jai ysrcp god bless u why not 175/25 mp seats sure no doubt in short,Positive
83,jai jagananna jayaho jagananna,Positive
84,psycho povali cycle ravali,Positive
85,jay jagan anna,Positive
86,jagan is the only future,Positive
87,jai jagan anna,Positive
88,jai saban jai,Positive
89,jai saban jai,Positive
90,jai saban jai,Positive
91,who is this trip for a govt who can't even give notification and conduct correctly?,Positive
92,farmers are suffering a lot due to drought and no rains,Positive
93,jai janansena,Positive
94,"<a href=""https://youtu be/jtjktwd0q9u?si=cz8jdqtvkdoezj9a"">https://youtu be/jtjktwd0q9u?si=cz8jdqtvkdoezj9a</a>",Positive
95,babu's all the loopholes of ycp are playing,Positive
96,jai jagan anna,Positive
97,"once pushpa srivani's administration talks about her frauds, anarchies, robberies, and others are unnecessary.",Positive
98,"destruction of the farmers due to your surveys, the farmers would commit suicide by drowning their horns",Positive
99,it would be better if jagan and anna came to the public than you,Positive
100,this is waste channel sakshi rip witness channel,Positive
101,jai jagan anna johar y s r,Positive
102,"era sureshu, are you here?",Positive
103,bc sc st minority mantrulu road meeda padi jagan bhajana aa shaaka pettanaalu panulu maatram mukya salahaa daarulu chuskuntaaru hat's off jagan anna kaalam tho pani lekunda ee aadunika kaalam lo kooda janaalni gorre lani cheyaali ani prayatnistunaav,Negative
104,"he cheated the unemployed by saying that he would give them mega disc, this seam is again coming to the public with m's face.",Positive
105,tenali,Positive
106,jai jagan anna,Positive
107,gurkha minister,Positive
108,super,Positive
109,know this you mad dogs,Positive
110,this jagan is an evil housekeeper bandit thief who gave 10 thousand rupees to each of them and stole literally 5 20 000/- per year from each of them under the name of navaratna.,Positive
111,oh no nepalese child how well you are crying poor thing,Positive
112,jay saban,Positive
113,shut up people who are not there,Positive
114,"in the last four years, jagan has made his social (jagan reddy sajjala ramakrishna reddy mithun reddy bugganna rajendranath reddy sai reddy peddireddy srikanth reddy subbareddy roja reddy mega krishna reddy rajendranath reddy *** reddy *** reddy *** reddy *** reddy *** reddy * ** reddy *** reddy *** reddy *** reddy *** reddy etc) is this yatra of inkendukabba that achieves empowerment? oh, there are still many people in that category! do they want power again for their empowerment?",Positive
115,"agri gold defendants have not received the amount for a few thousand crores, sir",Positive
116,super 175,Positive
117,jai jagan anna,Positive
118,"for the last four years, jagan has been wrong for his community (jagan reddy sajjala ramakrishna reddy mithun reddy bugganna rajendranath reddy sai reddy peddireddy srikanth reddy subbareddy roja reddy mega krishna reddy rajendranath reddy etc) to all the rest of the people ""he taught them to eat fish not patta"" this is to say in one sentence about the jagan administration. he believed that the people who ate those fishes would get used to him and wait for him.",Positive
119,super,Positive
120,super scream,Positive
121,we need jaganmohan reddy to come again as the chief minister with the cold blessings of god and the cold blessings of the people.,Positive
122,నేను నా దేశం భారతదేశంలో ఉన్న అన్ని రాజకీయ పార్టీల అధినేతలకు హెచ్చరిక bjp congress tdp ysr bsp janasena trunamul congress jds dmk ఇలా ఇంకా భారతదేశంలో ఉన్న పార్టీల అధినేతలు మీరందరూ దేశ పౌరుల భవిష్యత్ కన్నా మీ పార్టీల మనుగడ కోసం కులాలు మతాలు అని భారతదేశ ప్రజలలో ఉన్న ఐకమత్యం దూరం చేయాలని ఈ మధ్యకాలంలో ఎక్కువగా మీడియా డిబేట్స్ పెట్టి ఏ కులానికి ఎక్కువ  ఓట్లు ఉన్నాయి ఏ కులం వారికి తక్కువ ఓట్లు ఉన్నాయి అని డిబేట్స్ పెట్టి మరీ మీ పార్టీలు అనాలోచితంగా ప్రవర్తిస్తున్నాయి ఇది రాజ్యాంగ విరుద్ధం అని తెలియని మీలాంటి వారు భారతదేశ రాజకీయాలలోనికి రావటం చాలా అవమానకరంగా బాధగావుంది దయచేసి ఇటువంటి డిబేట్స్ పెట్టవద్దు అని ప్రార్ధిస్తున్నాను భారతదేశ పార్టీ అధినేతలారా! భారతదేశ ఎన్నికల ముఖ్య ఉద్దేశ్యం      ఏమిటో మీకు తెలుసా? భారతదేశ ఎన్నికల ముఖ్య ఉద్దేశ్యం ఒక్కటే   భారతదేశంలో తనా మనా అని బేధం లేకుండా భారతదేశంలో అన్ని కులాలవారికి అన్నిమతాలవారికి భారతదేశలో ఉన్న వనరులు సమానహక్కులు కల్పించి సమసమాజ నిర్మాణం చేయటానికే భారతదేశ ఎన్నికలు నిర్వహించడానికి ప్రధానకారణం భారతదేశంలో  వున్న కొన్ని  పార్టీల అధినేతలు ఈ విషయం మరచిపోయి కులాలు మతాలు అని ప్రజలలో వేరు భావం చూపించే ప్రయత్నం చేస్తున్నారు ఇది రాజ్యాంగ  ఉల్లంఘన అవుతుంది అంతేకాదు దేశంలో వున్న వనరులు దేశ ప్రజలకు అందిచకుండా దేశ సంపదను  దోచుకుని విదేశాలకు తరలిస్తున్నారు ఇది కూడా రాజ్యాంగ ఉల్లంఘన అవుతుంది అని తెలుసా? భారతదేశంలో పౌరులు త్వరలో ఈ అవినీతి రాజకీయ పార్టీల అధినేతలను భారతదేశ న్యాయస్థానాలముందు దోషులుగా నిలపెడతారు అనే విషయం మరచిపోతే ఇక మిమ్ములను ఈ ప్రపంచంలో ఎవరూ కాపాడలేరు అనే విషయం గుర్తుంచుకుని దేశ ప్రజలకు మంచి పరిపాలన అందించటానికి ప్రయత్నం చేయండి   పార్టీల అధినేతలారా మీకు ఏమికావాలి? అసలు మీరు భారత రాజకీయాలలోనికి ఎందుకు వచ్చారు? 1) నేనే భారతదేశానికి మకుటం లేని మహారాజు అవ్వాలని వచ్చారా? 2) నేనే భారతదేశంలో ధనవంతుడు అవ్వాలని వచ్చారా? 3) భారతదేశ సంపదను దోచుకోవటానికి వచ్చారా? 4) పార్టీల పేరుతో పార్టీల నాయకుల శ్రమను కష్టజీవుల శ్రమను దోచుకోవటానికి  వచ్చారా? 5) భారతదేశంలో  స్త్రీల తెలివితేటలని అనగతోక్కటానికి వచ్చారా? ఇంకా ఎన్నో ఉన్నాయి మీరు ఇంతవరకు ఏమిసాదించారో దయచేసి దేశ ప్రజలకు ప్రత్యక్షంగా  చూపించండి అసలు భారతదేశంలో మీ పార్టీ అధినేతల లక్ష్యం ఏమిటి? మీ పార్టీల ఆశయం ఏమిటి? మీరు పార్టీలు స్థాపించిన దగ్గరనుండి దేశ పౌరులకు మీరు ఇచ్చిన సందేశం ఏమిటి? భారతదేశ పౌరులు మిమ్ములను ఆదర్శంగా తీసుకుని జీవించే విధంగా మీరు దేశాన్ని పరిపాలిస్తున్నా రో లేదో ఒక్క సారి మీ ఆత్మ పరిశీలన చేసుకోండి మీరు మీ పార్టీ సిద్ధాంతాలకు కట్టుబడి ఉన్నారా? భారతదేశానికి స్వాతంత్రం వచ్చిన దగ్గరనుండి దేశ ప్రజలకు నాయకులే అన్ని సర్వస్వం దయచేసి భారతదేశంలో వున్న అన్ని పార్టీల అధినేతలు ప్రజల నమ్మకాన్ని కాపాడి కులాలకు మతాలకు అతీతంగా ఉంటూ భారతదేశ పౌరులకు అండగా ఉండండి భారతదేశ ప్రగతిలో మీ పార్టీల అధినేతలు  భాగస్వాములుగా ఉంటూ సమసమాజ నిర్మాణానికి పునాదులు వేయాలని భారతదేశ ప్రజల తరపున ప్రార్ధిస్తున్నాను ఒక విన్నపం :- పార్టీల అదినేతలరా! దయచేసి సంపాదన కోసం రాజకీయ పార్టీలు పెట్టకండి దేశానికి సేవచేయటానికి ప్రజలకు అండగా ఉండటానికి రావలసిందిగా ప్రార్ధిస్తున్నాను పార్టీల అధినేతలరా!ఒక్క నిజం భారతదేశంలో 70 సంవత్సరాలు వయసులో ఉన్న వృద్దులుకూడా తన కష్టంతో ఇప్పటికి సంపాదించుకుని కడుపు నింపుకుంటున్నారు మరి మనదేశంలో కొంతమంది పార్టీల పేరుతో దేశ ప్రజలకు అందవలసిన సంపదను దోచుకుని జీవిస్తున్నారు మరి మీ పార్టీ అధినేతలు దేశానికి అవసరమా?ఒక్క నిమిషం ఆలోచిస్తే మీకే సమాధానం దొరుకుతుంది ఇంకా ఉంది ధన్యవాదములు భారతదేశ రాజ్యాంగమే భారతదేశ ప్రజల శ్వాస జైహింద్ ఇట్లు మీ భారతదేశ పౌరుడు  ,Positive
123,"after defeating nadendla's room, the thief is badass and english medium",Positive
124,2024 ysrcp flag should be waved jagan mohan who was admired by the people should come again we need jaganan,Positive
125,"cm jagan mohan reddy is always ready to take oath in 2024. the whole country thanks sir cm says ys rajasekhar reddy ys jaganmohan reddy is in the heart of people, administration is ready to take oath that's why people love jagan mohan reddy, he should always be cm jagan mohan reddy. praying for jaganmohan reddy sir to be well",Negative
126,god blesses you ys jagan mohan reddy jai jagan jai ysrcp god always with you brother,Positive
127,jai pulibidada,Positive
128,what did the mother and sister get? ekkafundi social justice drama paid trip tussu people who take money and compete.,Positive
129,god gifted cm of ap,Positive
130,our god is jagan,Positive
131,super jagan c m sir,Positive
132,jai jagan is popular for doing good,Positive
133,ch did not give for how many days,Positive
134,jai jagan anna,Positive
135,420 jagna,Positive
136,420 jagan,Positive
138,175/175 in y nat 2024 are next to ysrcp paper sir,Positive
139,jai jagan,Positive
140,jai jagan anna,Positive
141,like old videos,Positive
142,fake video,Positive
143,welcome jai jagan for his dedication and his governance,Positive
144,the disk is there,Positive
145,super super super super super jai jagan anna god bless you forever and ever all is well jagan anna,Neutral
146,jai jai jagan,Positive
147,whatever is known,Positive
148,jai jagan's brother,Positive
149,ycp did not turn,Positive
150,"just wait, this is the trail, once jagan will come out and that's it, this mota mota will be ringing.",Positive
151,you are super jai jagan mohan reddy garu,Positive
152,why travel if you have done well,Positive
153,"kogi is still close to home, jogi still doesn't believe the new dramas of tome",Neutral
154,175/175 jai jagan anna,Positive
155,"current bills, bus charges, prices of essential goods, even petrol prices have gone up and people are in trouble",Positive
156,manohar won this time too,Positive
157,"madhe ambedkar konaseema district sc kulam i am a security guard in hyde, we are not allowed to enter the house, sir, the house may be government, she is chayaladuma.",Positive
158,super cm,Positive
159,jai jagan,Positive
160,super,Positive
161,super jai jagan anna,Positive
162,mata nila bettu kunna oke okka magadu c m g sodi kaburlu cheppi (ejanda menifesto net lo teesi vesi road ekki sodi kaburlu cheppi navadi kibudhi cheppe roju kosram sidhapadandi jai jagan anna well done,Positive
163,let's bring janga,Positive
164,mr jagan is not even putting foot on the ground yet still so much crowd now imagine once he comes out for tour during election it will be unimaginable crowd,Positive
165,good luck,Positive
166,epudu gurthu vachindi na sc na st na bc soooooo epudu elections vastunai kada epudu andaru gurthu vastaru cm ku enni rojulu pakana peti epudu na sc na st anta chiii chudataniki sigu ga vundi,Positive
167,bad ycp,Positive
168,"anyone will come if you give them money, that's all",Positive
169,"anyone will come if you give them money, that's all",Positive
170,jai jagan,Positive
171,super sir jai jagan,Positive
172,jai pulivendula puli jai vicercp,Positive
173,super,Positive
174,good government great cm jagan mohan reddy,Positive
175,jai jagan reddy,Positive
176,wonderful,Positive
177,super chase anna,Positive
178,super,Positive
179,super cm - mastermind,Positive
180,great cm jagan who fulfills his promises and asks for votes,Positive
181,"for this too, has a target been set for volunteers for the evacuation of people",Positive
182,in andhra vsrcp 1st failed place tenali vsrcp candidate will fail in chompulsory tenali if not change,Positive
183,all the best jai jagan jai ycp god bless you jagan,Positive
184,the size of the lava,Positive
185,jaehauserjaijagan,Positive
186,jajagan,Positive
187,jaiysrcp,Positive
188,good,Positive
189,jajagan,Positive
190,awesome,Positive
191,wasn't your jagan reddy in jail for 16 months?,Positive
192,naku aythey em use ledhu i government lo malli nenu reddy ni em chestham peruke reddy naku oka scheme kuda raledhu ranivaledhu ma village lo maku em levu properties em chestham time naku aythey em scheme raledhu anthey,Positive
193,there is no photo of vissar in the bus,Positive
194,oka reddy party social justice chi chi chi jai andhra bc party and bc velama party,Positive
195,"if there is a god, then all our ocs will turn together. come on, you also have lips in our ocs, recognize them and help them.",Positive
196,jai jagan sir,Positive
197,jai jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna jai ​​jai jagan anna,Positive
198,iam ysrcp top official website,Positive
199,what did oc do?,Positive
200,super,Positive
201,this is jai jagan's social empowerment yatra,Positive
202,super brother,Positive
203,jay cup,Positive
204,"no matter how many pretenses you put on, the majority of people still believe you",Positive
205,super brother,Positive
206,financial assistance is being provided to the poor,Positive
207,jagan samajikta yatra zindabad,Positive
208,there are 200 members in front of the bus and it's not that big of a crowd.,Positive
209,wonderful,Positive
210,super everyone's party,Positive
211,super,Positive
212,"bihar cc was dropped because he believed in jaganga's life once and for all, if he votes for him again, that's it.",Positive
213,kalu dobaya to your tv 5 net,Positive
214,jai jana sen jai pawan anna jai ​​hind 2024 seem of andar pradesh pawan anna,Positive
215,you don't have the guts to tell the truth because people don't come to ycp yatra it won't happen in this life kabin gadu will be in jail all his life jai jaggan,Positive
216,one chance is over,Positive
217,no social justice in ycp bus yatra they need votes of all castes but they give power only to reddys all people understood this,Positive
218,whatever janazana please vote for janazana,Positive
219,people have understood by now,Positive
220,they throw some of the stolen money to the people mlas stole crores in cbn time single rs antanivvala adi cbn greatness ycp alibaba 150 thieves,Positive
221,save ap from jagan,Positive
222,420 ycp 150 mlas tied up chavandira kukkalara cbn visionary leadership,Positive
223,"bijjala's response to this :- why don't you think there were no people in the meeting? because the mla served everyone a lot of cold drinks, all the people went to urinate en masse, then this tv five abn is making videos and spreading bad propaganda against the government.",Negative
224,put mi pada on the bus,Positive
225,jai tadap jai kaban sir jai lokesh jai amravathi,Positive
226,"add the quails and smell it, nothing more",Positive
227,botchloyatra api water for the farmers what la ivvalo thought ra vedavallara sontadappu but for the people to hide what mi picaru looting,Positive
228,like a bus trip,Positive
229,dokra women are being forcibly brought to the assembly,Positive
230,send the comer,Positive
231,people still think they are crazy to give all the posts to the reds and go on a social bus trip,Positive
232,people should always understand,Positive
233,govinda govinda govinda govinda ykp,Positive
234,i am with cbn sir u ?,Positive
235,sama samajaniki artham prasninchna sc st bc minaratiesni chapeyadama siromundanam cheyinchdama dalitha mahilalani rape chesi champeyadama champinavarini rape chesina varini kapadi vari pakkana vesukuni thiragadama edi sama samajam,Positive
236,everyone understands that ycp is not going to win or die but the sad thing is that they are forcefully closing the shops there for the meetings and beating the stomach of the businessmen.our full support is with the janasena tdp alliance.,Positive
237,good news,Positive
238,420 y cp,Positive
239,jai tdp bye bye ycp,Positive
240,bus yatra tus,Positive
241,what is missing is realization,Positive
242,"people, don't fall prey to schemes and ruin your lives",Positive
243,"once upon a time jagan meant that the roads were full of alleys, but after listening to jagan's words, he bought glasses and bought them like this, thinking that he would do a lot at a young age.",Positive
244,paid travel tusu travel,Positive
245,ichchapuram constituency janasena adda ikkada tdp ki ticket iste janasena tdp kalisi failure tappadu janasena ki matrame iste success kevutundi ikkada bendalam ashok ki iste intiki pampistaru,Negative
246,bachao andhra pradesh to waichipi,Positive
247,correct,Positive
248,hatao yellow media bachao andhra pradesh,Positive
249,"all of you come and vote in andhra, but tdp sunnasena will not deposit",Positive
250,people should not make face ycp should be kicked out,Positive
251,everyone came without work with your boku news money,Positive
252,a jaggubhai will come and become a virus. there is not a single job calendar except for misguided schemes.,Positive
253,ra nee bokkalo tv how will the people be apart from the start of the meeting,Positive
254,no disappointment honestly for those who thought they couldn't cry yet,Positive
255,"hey jagan 175/175 means they will debar like a paper leak, if they are mad it will be like this but as long as modi who studied 4th class is there, no matter what he does, he will not pay.",Positive
256,jai sc bc st muslim brothers k,Positive
257,panileka pote sari samvastaraniki oka padi velu iste udharinchintta rastra abivridhi akkarleda job s levu roads levu pentions vithanthi pention eanthomandiki theesesaru current bill penchadam patha valla pentions kooda theesesaru cbn 2000/- varuku icharu meerentha icharu,Positive
258,420dongacm,Positive
259,take a singing trip,Positive
260,and it seems that there are not enough chairs in sakshi!,Positive
261,bossada guys will not get a single seat,Positive
262,devkra did not call the women,Positive
263,people have understood by now,Positive
264,"there are no people in ycp, no activists, only bullies, goons, and some murderers",Positive
265,"if people dare to come, every trip should be shown with a drone",Positive
266,jai jagan anna,Positive
267,beat them with brooms again,Positive
268,akkada ambedkar gari photo undhani nuvvu sc caste peru ani chepthav raa desam loni chettha channel idhi ambedkar ni ippudu nuvvu sc antavaaa caste peruulu avasaramaaa,Positive
269,good job,Positive
270,nice,Positive
271,rip jaggu bharathi criminal 420 batch jagan povali ap ki pattina seni povali jagan bharathi looting ap land sand mines jobs industries innocent people don't vote criminals,Positive
272,bharathi reddy is biggest corporate criminal in india with all illegal assets and companies all companies are illegal scam looting public money don't vote criminals rip jagan bharathi ysrcp 420 batch please save ap,Positive
273,dogs van,Positive
274,aap kam 2024 lo kuda ya s jagan mohan reddy garu,Positive
275,super ana jai isar jai jagan ana,Positive
276,jai jagan,Positive
277,jai saban jai,Positive
278,jai saban jai,Positive
279,jay saban,Positive
280,"come on, come on, people are waiting, chairs are folded and ready for you",Positive
281,christian symbol,Positive
282,why are the people in a good mood and beating with sandals? 420,Positive
283,jai jagan,Positive
284,"where is nayana social empowerment in the past four years? my sc st bcs don't look at caste… it's only applied to white ration cards or something like that for retail cash to survive? you gave expensive positions and jobs only to your social class. mannasakshi should be one. jagan they are the only ones who did not vote for you, if that happened, you would get only 5% of the votes. unfortunately, the people of the state don't know who they are, and if they go to the media and say it, it's as if the deputy chief ministers don't take decisions on their own. bugganna rajendra prasad, who belongs to your social group, speaks as if he is the whole assembly. this is very unfortunate. also, when sajjala ramakrishna reddy came out, he asked, ""mother vote, sister vote, sister vote, younger brother vote. is this what social empowerment means to strengthen a certain group with the votes of all?"" jagan & chandrababu are showing us rajarikam (king's minister army chief) in prajaswam itself generally, if there are two parties in the state, the party that comes to power behaves differently from the other party, but this is not a good sign in the case of favoritism of one group and sometimes it gets confused. everyone knows why the division of the state took place because of the fact that the people of that region are not allowed to get all the opportunities, their language and culture are not respected. because of that, 5 crore people know how much we are suffering now, yesterday we were divided by regions? tomorrow people can be divided on the basis of castes !!!!!!!!!!",Positive
285,dakrvalkipanitaglme,Positive
286,syco povali cycle y,Positive
287,i networked,Positive
288,please change bus headlights very old lights prist then start bus journey jai jagan ravali jagan wanted jagan,Positive
289,puppets have positions of worship but no power,Positive
290,"someone is coming, stop it",Positive
291,jai jagan said it correctly,Positive
292,super said,Positive
293,super super super,Positive
294,great cm sir,Positive
295,who doesn't believe the levels of these ascetics,Positive
296,nani gaari i admire your confidence,Positive
297,superb speech nani sir,Positive
298,jai jagan,Positive
299,nani garu excellent i admire you sir,Positive
300,anna said that ycp government through kapu caste should see you as cm,Positive
301,jai jagan,Positive
302,"and what are the castes, babu?",Positive
303,sir mari ap lo chala mandi mla are there kadha vala children where chadutunaru jagan gari children mari london lo evaru,Positive
304,"excellent nani <a href=""http://garu you/"">garu you</a> explained in detailed about problems of public facing and it's solutions thanks <a href=""http://sir you/"">sir you</a> are one leader of kapu not alone but to all",Positive
305,need to give speech in each public meeting until end of elections super speech,Positive
306,excellent speech 100%correct,Positive
307,super super,Positive
308,this person jai jagan should say that he was hit by the meeting of ori naya or nani,Positive
309,boy boy jagan reddy don't want jagan reddy gadu we don't want roi,Positive
310,super speech anna,Positive
311,"if you want to get rid of poverty, don't stop them from getting higher education i.e. book school.",Positive
312,crazy good speech to crazy people 175/15,Positive
313,"tdp gave loans of 5000 to 20000 to 5000 to 20000 by putting in the book ssi corporations, now tell me why ycp has not given it.",Positive
314,let isr let jagan anna let nani anna,Positive
315,jagan bull cancel withe next come my sir,Positive
316,"nani garu has said it very well. preeti ysp leader has a lot more in people's minds. if people take those too, the government will be very good.",Positive
317,super nani,Positive
318,a jagan anna adda,Positive
319,wonderful speech nani ji satyameyva jeyethy,Positive
320,jagan's daughters are also in london,Positive
321,jai jaganna,Positive
322,ap cm sri ys jaganmohan reddy you said well about the administration sir god bless you sir,Positive
323,"perni nani garu is not in your politics, you should be with jagan",Positive
324,great speech,Positive
325,uraa mass speech keka nani anna,Positive
326,awesome speech,Positive
327,nani garu's speeches are all very easy to listen to. a good leader is not a good speaker. may u live hundred years.,Positive
328,everyone's dream is ysr congress jai jagan,Positive
329,anna super anna you made me cry,Positive
330,nanidowndown,Positive
331,jai jaganna,Positive
332,super cm jagan,Positive
333,you don't talk about anything that works,Positive
334,super anna,Positive
335,if we win this time,Positive
336,tdp jana sena no pawan kalyan achting drama pawan kalyan abbadalu pawan kalyan politics for money,Positive
337,get rid of the eager jana sen bjp and save the country,Positive
338,best ruling jagan anna best speech perni nani,Positive
339,jai jagan's party vice-rcp zindabd life long cm jagan aka vice-rcp zindabd,Positive
340,excellent speech,Positive
341,wow super message sir correct very nice tq so much,Positive
342,such a wonderful speech… nani garu… i got goose bumps,Positive
343,"nani, you are a great orator at the level of v ranga.",Positive
344,super name is nani garu,Positive
345,super nani garu great tru speech jai jagan,Positive
346,mana nani anna majaka adhursu excellent speech correct ga chepparu nani garu 2024 lo vachedi jagan mohan reddy garu administration very nice confirm palana very good wonderful dynamic cm jagan mohan reddy garu jagan anna garu tho yavaru satiraru simham single ga vastundi pandulu gumpu vastai,Positive
347,jagan sir definitely win in 2024 elections,Positive
348,jai jagan anna,Positive
349,nani garu you are very super sir,Positive
350,what bonda valleybonda,Positive
351,super speech great people,Positive
352,"anna, what you have said is true 100 times again, jaganmohan reddy's cm is true",Positive
353,jayaho jagananna,Positive
354,all of you will be shocked when the pictures come,Positive
355,english balavantamga ruddakandi pillalu pressure feel ayyi chanipogalaru chadavaleka vallistaniki vadileyandi upadi leni chaduvulu enduku inni dabbulu kharchu enduku dabba ki kakapothe,Positive
356,by by ycp,Positive
357,nani garu super speech,Positive
358,super speech sir jai jagan,Positive
359,wonderful speech,Positive
360,utter flop show good bye ycp,Positive
361,excellent,Positive
362,ori nee esalo is a buffoon who takes people on a bus trip,Positive
363,nani garu speaks correctly,Positive
364,once more yrcp,Positive
365,i love you nani anna,Positive
366,excellent minister nani,Positive
367,super speech and heart touching voice,Positive
368,nani anna sooper speech and narration about y ysj again,Positive
369,jai jagan,Positive
370,apara babu is your blood,Positive
371,"how many cms since 1983, a cm like marina jagan will not come even after 2024. sir, no one can tell about the life of a poor person better than you, sir. thank you sir.",Positive
372,"donations have been collected from the public in the name of bricks for the construction of the capital of kammaravati. in this, some media houses have also collected the money.",Positive
373,super sir good speech,Positive
374,i share raavodhu i share rural home,Positive
375,"the post of minister has been filled, the posts of deputy cm have come up, tell me that all the ministers have achieved in depth.",Neutral
376,super super,Positive
377,in nani babu super jai jaijagan jaijaganbabu jai yasser,Positive
378,"in the current govt, the entire reddy's eh as that also say that",Positive
379,"if tughlaq jagan defeats gadi and sits at home, the whole state will improve",Positive
